Страна,Название фильма,Год,Жанр,Рейтинг,Индекс
"",Monsta X: Connect X in Cinemas,2025,музыка,9,5
Австралия,Апгрейд,2018,боевик,7.8,551
Австралия,Апгрейд,2018,триллер,7.8,551
Австралия,Апгрейд,2018,фантастика,7.8,551
Австралия,Безумный Макс: Дорога ярости,2015,боевик,8,250
Австралия,Безумный Макс: Дорога ярости,2015,приключения,8,250
Австралия,"Два, три, демон, приди!",2023,триллер,7.6,742
Австралия,"Два, три, демон, приди!",2023,ужасы,7.6,742
Австралия,Контроль,2007,биография,7.5,997
Австралия,Контроль,2007,драма,7.5,997
Австралия,Контроль,2007,мюзикл,7.5,997
Австралия,Король говорит!,2010,драма,8.1,233
Австралия,Король говорит!,2010,исторический,8.1,233
Австралия,Лев,2016,драма,7.7,614
Австралия,Матрица,1999,боевик,8.7,30
Австралия,Матрица,1999,триллер,8.7,30
Австралия,Матрица,1999,фантастика,8.7,30
Австралия,Мэри и Макс,2009,анимация,7.9,386
Австралия,Одиннадцать друзей Оушена,2001,криминал,7.9,394
Австралия,Одиннадцать друзей Оушена,2001,триллер,7.9,394
Австралия,Тренировочный день,2001,драма,7.7,630
Австралия,Тренировочный день,2001,криминал,7.7,630
Австралия,Тренировочный день,2001,триллер,7.7,630
Австрия,La Bohème,2002,драма,8.2,155
Австрия,La Bohème,2002,мелодрама,8.2,155
Австрия,La Bohème,2002,музыка,8.2,155
Австрия,Белая лента,2009,военный,7.7,698
Австрия,Белая лента,2009,драма,7.7,698
Австрия,Зальцбург-100: Богема,2012,спектакль,8,260
Австрия,Отель Мумбаи: Противостояние,2018,драма,7.8,498
Австрия,Отель Мумбаи: Противостояние,2018,криминал,7.8,498
Австрия,Отель Мумбаи: Противостояние,2018,триллер,7.8,498
Аргентина,Алита: Боевой ангел,2018,боевик,7.8,490
Аргентина,Алита: Боевой ангел,2018,мелодрама,7.8,490
Аргентина,Алита: Боевой ангел,2018,приключения,7.8,490
Аргентина,Алита: Боевой ангел,2018,фантастика,7.8,490
Аргентина,Дикие истории,2014,драма,7.7,579
Аргентина,Дикие истории,2014,комедия,7.7,579
Аргентина,Дикие истории,2014,триллер,7.7,579
Беларусь,Брестская крепость,2010,военный,7.8,517
Беларусь,Брестская крепость,2010,драма,7.8,517
Беларусь,В августе 44-го,2001,боевик,8.1,222
Беларусь,В августе 44-го,2001,военный,8.1,222
Беларусь,В августе 44-го,2001,драма,8.1,222
Беларусь,В августе 44-го,2001,криминал,8.1,222
Беларусь,В августе 44-го,2001,триллер,8.1,222
Бельгия,Господин Никто,2009,драма,8,321
Бельгия,Господин Никто,2009,мелодрама,8,321
Бельгия,Господин Никто,2009,фантастика,8,321
Бельгия,Господин Никто,2009,фэнтези,8,321
Бельгия,Достучаться до небес,1997,боевик,8.2,161
Бельгия,Достучаться до небес,1997,драма,8.2,161
Бельгия,Достучаться до небес,1997,комедия,8.2,161
Бельгия,Достучаться до небес,1997,приключения,8.2,161
